FORMULARIO;CODIGO_ACCIDENTE;FECHA;CODIGO_VICTIMA;CODIGO_VEHICULO;TIPO_ACTOR;ESTADO;GENERO;EDAD;GRAVEDAD;CLASE_SINIESTRO;DIRECCION;LONGITUD;LATITUD;CODIGO_LOCALIDAD;TOTAL_HERIDOS;TOTAL_MUERTOS;MOD_VEHICULO;CLASE_VEHICULO;SERVICIO_VEHICULO;CODIGO_CAUSA
A016;10576;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;31;2;1;KR 111 C  - CL 68 B  02;-74.131;4.706;10;1;;2003;1;2;112
A017;10577;4/04/2022;1;;PEATON;HERIDO;FEMENINO;18;2;2;CL 65  - KR 80 C  02;-74.184;4.607;7;2;;;;;157
A018;10578;4/04/2022;0;1;CONDUCTOR;HERIDO;MASCULINO;25;2;2;CL 65  - KR 80 C  02;-74.184;4.607;7;2;;2013;1;3;157
A019;10579;4/04/2022;1;2;CONDUCTOR;ILESO;FEMENINO;26;3;1;KR 97 C  - CL 49 C  S 02;-74.184;4.642;7;;;2012;1;3;122
A020;10580;4/04/2022;0;1;CONDUCTOR;ILESO;FEMENINO;39;3;1;KR 97 C  - CL 49 C  S 02;-74.184;4.642;7;;;2011;1;3;122
A021;10581;3/04/2022;2;3;CONDUCTOR;ILESO;MASCULINO;33;3;1;CL 170  - KR 111   02;-74.096;4.794;11;;;2021;6;3;121
A022;10582;3/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;44;3;1;CL 170  - KR 111   02;-74.096;4.794;11;;;2014;1;3;121
A023;10583;3/04/2022;0;1;CONDUCTOR;ILESO;FEMENINO;41;3;1;CL 170  - KR 111   02;-74.096;4.794;11;;;2019;1;3;121
A024;10584;4/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;37;3;1;KR 30  - CL 51   02;-74.079;4.641;13;;;2018;1;3;103
A025;10585;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;58;3;1;KR 30  - CL 51   02;-74.079;4.641;13;;;2015;9;2;103
A026;10586;31/03/2022;1;2;CONDUCTOR;ILESO;FEMENINO;21;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2021;1;3;0
A027;10587;31/03/2022;1;2;CONDUCTOR;ILESO;FEMENINO;21;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2021;1;3;103
A028;10588;31/03/2022;1;2;CONDUCTOR;ILESO;FEMENINO;21;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2021;1;3;157
A029;10589;31/03/2022;0;1;CONDUCTOR;ILESO;MASCULINO;33;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2009;4;2;0
A030;10590;31/03/2022;0;1;CONDUCTOR;ILESO;MASCULINO;33;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2009;4;2;103
A031;10591;31/03/2022;0;1;CONDUCTOR;ILESO;MASCULINO;33;3;1;AV AVENIDA BOYACA - CL 79   02;-74.091;4.694;10;;;2009;4;2;157
A032;10592;3/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;59;2;1;AV AVENIDA BOYACA - CL 152 B  02;-74.093;4.753;11;1;;2003;1;2;122
A033;10593;3/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;23;2;1;AV AVENIDA BOYACA - CL 152 B  02;-74.093;4.753;11;1;;2018;10;3;122
A034;10594;4/04/2022;1;;PEATON;HERIDO;FEMENINO;56;2;2;KR 4  - CL 187 D  02;-74.024;4.765;1;2;;;;;157
A035;10595;4/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;19;2;2;KR 4  - CL 187 D  02;-74.024;4.765;1;2;;2019;10;3;157
A036;10596;4/04/2022;1;;PEATON;HERIDO;MASCULINO;85;2;2;CL 12 C  - KR 6   02;-74.073;4.6;3;1;;;;;411
A037;10597;4/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;41;2;2;CL 12 C  - KR 6   02;-74.073;4.6;3;1;;2016;5;2;411
A038;10598;2/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;41;2;1;KR 68 D  - CL 13   02;-74.122;4.64;9;1;;2013;1;2;102
A039;10599;2/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;41;2;1;KR 68 D  - CL 13   02;-74.122;4.64;9;1;;2013;1;2;506
A040;10600;2/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;40;2;1;KR 68 D  - CL 13   02;-74.122;4.64;9;1;;;10;3;102
A041;10601;2/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;40;2;1;KR 68 D  - CL 13   02;-74.122;4.64;9;1;;;10;3;506
A042;10602;5/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2013;4;2;121
A043;10603;5/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2013;4;2;137
A044;10604;5/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2013;4;2;157
A045;10605;5/04/2022;0;1;CONDUCTOR;HERIDO;MASCULINO;39;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;121
A046;10606;5/04/2022;2;1;PASAJERO;HERIDO;FEMENINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;121
A047;10607;5/04/2022;3;1;ACOMPANANTE;HERIDO;FEMENINO;17;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;121
A048;10608;5/04/2022;0;1;CONDUCTOR;HERIDO;MASCULINO;39;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;137
A049;10609;5/04/2022;2;1;PASAJERO;HERIDO;FEMENINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;137
A050;10610;5/04/2022;3;1;ACOMPANANTE;HERIDO;FEMENINO;17;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;137
A051;10611;5/04/2022;0;1;CONDUCTOR;HERIDO;MASCULINO;39;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;157
A052;10612;5/04/2022;2;1;PASAJERO;HERIDO;FEMENINO;41;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;157
A053;10613;5/04/2022;3;1;ACOMPANANTE;HERIDO;FEMENINO;17;2;1;CL 84  S- KR 9   02;-74.111;4.507;5;3;;2014;1;2;157
A054;10614;31/03/2022;1;2;CONDUCTOR;ILESO;FEMENINO;38;3;1;KR 45  - CL 191   02;-74.044;4.768;1;;;2010;1;3;103
A055;10615;31/03/2022;0;1;CONDUCTOR;ILESO;MASCULINO;42;3;1;KR 45  - CL 191   02;-74.044;4.768;1;;;2020;4;2;103
A056;10616;5/04/2022;0;1;CONDUCTOR;HERIDO;FEMENINO;52;2;1;CL 41 B  S- KR 1 B  02;-74.098;4.55;4;1;;2020;5;3;157
A057;10617;24/04/2022;2;3;CONDUCTOR;;;;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;0;0;157
A058;10618;24/04/2022;2;3;CONDUCTOR;;;;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;0;0;157
A059;10619;24/04/2022;2;3;CONDUCTOR;;;;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;0;0;157
A060;10620;24/04/2022;1;2;CICLISTA;HERIDO;MASCULINO;22;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;13;0;157
A061;10621;24/04/2022;1;2;CICLISTA;HERIDO;MASCULINO;22;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;13;0;157
A062;10622;24/04/2022;1;2;CICLISTA;HERIDO;MASCULINO;22;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;;13;0;157
A063;10623;24/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;29;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;2020;10;3;157
A064;10624;24/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;29;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;2020;10;3;157
A065;10625;24/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;29;2;1;KR 86  - CL 17   02;-74.136;4.659;9;2;;2020;10;3;157
A066;10626;21/04/2022;1;;PEATON;HERIDO;FEMENINO;10;2;2;CL 60 G  S- KR 17   02;-74.135.863.538;455.861.133.899.998;19;1;;;;;157
A067;10627;21/04/2022;0;1;CONDUCTOR;;;;2;2;CL 60 G  S- KR 17   02;-74.135.863.538;455.861.133.899.998;19;1;;;0;0;157
A068;10628;23/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;36;2;4;KR 86  - CL 1  S 02;-74.158.714.087;463.816.358.100.001;8;1;;2014;2;2;157
A069;10629;23/04/2022;1;1;PASAJERO;HERIDO;FEMENINO;47;2;4;KR 86  - CL 1  S 02;-74.158.714.087;463.816.358.100.001;8;1;;2014;2;2;157
A070;10630;22/04/2022;1;2;CONDUCTOR;ILESO;FEMENINO;64;2;1;KR 16  - CL 159   02;-74.039;4.738;1;2;;2013;1;3;112
A071;10631;22/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;23;2;1;KR 16  - CL 159   02;-74.039;4.738;1;2;;2019;10;1;112
A072;10632;22/04/2022;2;1;PASAJERO;HERIDO;MASCULINO;23;2;1;KR 16  - CL 159   02;-74.039;4.738;1;2;;2019;10;1;112
A073;10633;25/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;26;3;1;TV 86  - CL 99 A  02;-74.093;4.714;11;;;1989;1;3;121
A074;10634;25/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;55;3;1;TV 86  - CL 99 A  02;-74.093;4.714;11;;;2021;2;2;121
A075;10635;23/04/2022;1;2;MOTOCICLISTA;HERIDO;MASCULINO;26;2;1;KR 30  - CL 19   02;-74.112;4.595;16;2;;2019;10;3;121
A076;10636;23/04/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;55;2;1;KR 30  - CL 19   02;-74.112;4.595;16;2;;2021;10;3;121
A077;10637;24/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;32;3;1;KR 86  - CL 6 A  02;-74.157;4.641;8;;;2011;1;3;121
A078;10638;24/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;62;3;1;KR 86  - CL 6 A  02;-74.157;4.641;8;;;2021;5;3;121
A079;10639;23/04/2022;1;2;MOTOCICLISTA;HERIDO;MASCULINO;41;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A080;10640;23/04/2022;2;2;ACOMPANANTE;HERIDO;MASCULINO;11;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A081;10641;23/04/2022;1;2;MOTOCICLISTA;HERIDO;MASCULINO;41;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A082;10642;23/04/2022;2;2;ACOMPANANTE;HERIDO;MASCULINO;11;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A083;10643;23/04/2022;0;1;MOTOCICLISTA;HERIDO;FEMENINO;51;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A084;10644;23/04/2022;0;1;MOTOCICLISTA;HERIDO;FEMENINO;51;2;1;CL 1 F  - KR 33   02;-74.107;4.603;16;3;;2021;10;3;157
A085;10645;25/04/2022;1;2;MOTOCICLISTA;HERIDO;MASCULINO;28;2;1;KR 20  - CL 63 B  02;-74.07;4.652;12;1;;2021;10;3;112
A086;10646;25/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;46;2;1;KR 20  - CL 63 B  02;-74.07;4.652;12;1;;2009;1;3;112
A087;10647;25/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;55;3;1;KR 3  - CL 39   02;-74.095;4.552;3;;;2012;6;1;121
A088;10648;25/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;34;3;1;KR 3  - CL 39   02;-74.095;4.552;3;;;2008;5;1;121
A089;10649;23/04/2022;1;2;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 6  - KR 68 D  02;-74.126;4.63;8;;;2009;1;3;103
A090;10650;23/04/2022;0;1;CONDUCTOR;ILESO;MASCULINO;57;3;1;CL 6  - KR 68 D  02;-74.126;4.63;8;;;2008;6;3;103
A091;10651;3/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;56;3;1;CL 24  - KR 73   02;-74.118;4.664;9;;;2012;1;2;121
A092;10652;3/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;56;3;1;CL 24  - KR 73   02;-74.118;4.664;9;;;2012;1;2;306
A093;10653;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;63;3;1;CL 24  - KR 73   02;-74.118;4.664;9;;;2018;1;3;121
A094;10654;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;63;3;1;CL 24  - KR 73   02;-74.118;4.664;9;;;2018;1;3;306
A095;10655;3/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;32;3;1;KR 50 A  - CL 45 A  S 02;-74.142.744.316;459.528.002.899.998;16;;;2021;1;3;157
A096;10656;3/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;32;3;1;KR 50 A  - CL 45 A  S 02;-74.142.744.316;459.528.002.899.998;16;;;2021;1;3;157
A097;10657;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;40;3;1;KR 50 A  - CL 45 A  S 02;-74.142.744.316;459.528.002.899.998;16;;;2008;5;2;157
A098;10658;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;40;3;1;KR 50 A  - CL 45 A  S 02;-74.142.744.316;459.528.002.899.998;16;;;2008;5;2;157
A099;10659;3/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;52;3;1;KR 69 F  - CL 17   02;-74.124.314.264;464.722.516.199.998;9;;;1996;1;3;157
A100;10660;3/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;52;3;1;KR 69 F  - CL 17   02;-74.124.314.264;464.722.516.199.998;9;;;1996;1;3;157
A101;10661;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;59;3;1;KR 69 F  - CL 17   02;-74.124.314.264;464.722.516.199.998;9;;;2021;5;2;157
A102;10662;3/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;59;3;1;KR 69 F  - CL 17   02;-74.124.314.264;464.722.516.199.998;9;;;2021;5;2;157
A103;10663;4/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;38;3;1;KR 19 A  - CL 4 A  02;-74.091.535.629;459.754.342.299.999;14;;;2018;5;3;121
A104;10664;4/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;45;3;1;KR 19 A  - CL 4 A  02;-74.091.535.629;459.754.342.299.999;14;;;2015;1;2;121
A105;10665;4/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;56;3;1;KR 50  - CL 152   02;-74.052.357.813;473.559.179.900.002;11;;;2010;6;3;121
A106;10666;4/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;26;3;1;KR 50  - CL 152   02;-74.052.357.813;473.559.179.900.002;11;;;1993;1;3;121
A107;10667;5/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;28;3;1;CL 13  - KR 58   02;-74.111.054.622;463.154.289.800.002;16;;;2015;3;2;121
A108;10668;5/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;19;3;1;CL 13  - KR 58   02;-74.111.054.622;463.154.289.800.002;16;;;2014;1;3;121
A109;10669;6/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;51;3;1;CL 12  - KR 5 A  02;-74.080.239.669;458.477.425.400.002;4;;;2019;5;3;134
A110;10670;6/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;51;3;1;CL 12  - KR 5 A  02;-74.080.239.669;458.477.425.400.002;4;;;2019;5;3;141
A111;10671;6/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 12  - KR 5 A  02;-74.080.239.669;458.477.425.400.002;4;;;2016;1;3;134
A112;10672;6/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;29;3;1;CL 12  - KR 5 A  02;-74.080.239.669;458.477.425.400.002;4;;;2016;1;3;141
A113;10673;6/01/2022;1;;PEATON;HERIDO;MASCULINO;78;2;2;KR 68 A  - CL 102 A  02;-74.071.070.673;469.181.000.200.001;11;1;;;;;137
A114;10674;6/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;51;2;2;KR 68 A  - CL 102 A  02;-74.071.070.673;469.181.000.200.001;11;1;;2007;1;3;137
A115;10675;5/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;38;3;1;DG 2  - KR 80   02;-74.154.172.476;463.217.632.800.001;8;;;2012;1;3;112
A116;10676;5/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;59;3;1;DG 2  - KR 80   02;-74.154.172.476;463.217.632.800.001;8;;;2016;1;2;112
A117;10677;6/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;22;3;1;KR 9  - CL 5   02;-74.080.550.081;459.360.285.100.001;3;;;2007;1;3;134
A118;10678;6/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;24;3;1;KR 9  - CL 5   02;-74.080.550.081;459.360.285.100.001;3;;;2021;1;3;134
A119;10679;12/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;38;2;1;KR 86  - CL 55 A  02;-74.115.295.935;468.360.132.499.998;10;1;;2018;4;3;103
A120;10680;12/01/2022;0;1;MOTOCICLISTA;HERIDO;MASCULINO;25;2;1;KR 86  - CL 55 A  02;-74.115.295.935;468.360.132.499.998;10;1;;2015;10;3;103
A121;10681;11/01/2022;1;;PEATON;HERIDO;MASCULINO;50;2;2;AV AVENIDA PRIMERO DE MAYO - KR 47  S 37;-74.165.570.716;4.614.387.825;8;1;;;;;133
A122;10682;11/01/2022;1;;PEATON;HERIDO;MASCULINO;50;2;2;AV AVENIDA PRIMERO DE MAYO - KR 47  S 37;-74.165.570.716;4.614.387.825;8;1;;;;;157
A123;10683;11/01/2022;0;1;CONDUCTOR;;;;2;2;AV AVENIDA PRIMERO DE MAYO - KR 47  S 37;-74.165.570.716;4.614.387.825;8;1;;;0;0;133
A124;10684;11/01/2022;0;1;CONDUCTOR;;;;2;2;AV AVENIDA PRIMERO DE MAYO - KR 47  S 37;-74.165.570.716;4.614.387.825;8;1;;;0;0;157
A125;10685;15/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;67;3;1;KR 50  - CL 114   02;-74.059.624.137;469.857.256;11;;;;1;3;112
A126;10686;15/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;67;3;1;KR 50  - CL 114   02;-74.059.624.137;469.857.256;11;;;;1;3;115
A127;10687;15/01/2022;0;1;CONDUCTOR;ILESO;FEMENINO;52;3;1;KR 50  - CL 114   02;-74.059.624.137;469.857.256;11;;;2019;1;3;112
A128;10688;15/01/2022;0;1;CONDUCTOR;ILESO;FEMENINO;52;3;1;KR 50  - CL 114   02;-74.059.624.137;469.857.256;11;;;2019;1;3;115
A129;10689;16/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;52;3;1;CL 134  - KR 19 A  02;-74.048.256.331;471.834.579.199.998;1;;;2014;1;2;121
A130;10690;16/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;49;3;1;CL 134  - KR 19 A  02;-74.048.256.331;471.834.579.199.998;1;;;2019;1;3;121
A131;10691;16/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;30;3;1;KR 90  - CL 52 A  02;-74.119;4.683;10;;;2016;1;3;103
A132;10692;16/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;45;3;1;KR 90  - CL 52 A  02;-74.119;4.683;10;;;;1;3;103
A133;10693;16/01/2022;1;2;CONDUCTOR;ILESO;FEMENINO;37;3;1;KR 45  - CL 193   02;-74.043;4.771;1;;;2021;1;3;121
A134;10694;16/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;33;3;1;KR 45  - CL 193   02;-74.043;4.771;1;;;2015;1;3;121
A135;10695;17/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;26;3;1;KR 30  - CL 19   02;-74.088.459.924;461.865.158.699.999;14;;;2008;4;2;308
A136;10696;17/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;58;3;1;KR 30  - CL 19   02;-74.088.459.924;461.865.158.699.999;14;;;2011;8;3;308
A137;10697;18/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;48;3;1;CL 56  S- KR 98 C  02;-74.176.915.312;464.736.517.699.998;7;;;2020;2;2;104
A138;10698;18/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;48;3;1;CL 56  S- KR 98 C  02;-74.176.915.312;464.736.517.699.998;7;;;2020;2;2;302
A139;10699;18/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;36;3;1;CL 56  S- KR 98 C  02;-74.176.915.312;464.736.517.699.998;7;;;2014;1;3;104
A140;10700;18/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;36;3;1;CL 56  S- KR 98 C  02;-74.176.915.312;464.736.517.699.998;7;;;2014;1;3;302
A141;10701;17/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;58;3;1;CL 51  S- KR 12 C  02;-74.124.805.305;4.562.397.078;18;;;2021;1;2;121
A142;10702;17/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;44;3;1;CL 51  S- KR 12 C  02;-74.124.805.305;4.562.397.078;18;;;2012;1;2;121
A143;10703;17/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;53;3;1;AC 80  - KR 114   02;-74.121.330.488;472.149.635;10;;;2013;4;2;122
A144;10704;17/01/2022;0;1;CONDUCTOR;ILESO;FEMENINO;48;3;1;AC 80  - KR 114   02;-74.121.330.488;472.149.635;10;;;;5;3;122
A145;10705;18/01/2022;1;2;MOTOCICLISTA;ILESO;MASCULINO;48;3;1;AK 86  - AV AVENIDA CIUDAD DE CALI  02;-74.17;4.629;8;;;2013;10;3;103
A146;10706;18/01/2022;0;1;CONDUCTOR;ILESO;FEMENINO;41;3;1;AK 86  - AV AVENIDA CIUDAD DE CALI  02;-74.17;4.629;8;;;2015;1;3;103
A147;10707;17/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;23;3;1;AV AVENIDA BOYACA - CL 37 A  S 02;-7.413.217.435;4.603.860.951;8;;;2020;5;2;121
A148;10708;17/01/2022;0;1;MOTOCICLISTA;ILESO;MASCULINO;22;3;1;AV AVENIDA BOYACA - CL 37 A  S 02;-7.413.217.435;4.603.860.951;8;;;2021;10;3;121
A149;10709;18/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;28;3;1;KR 67  - CL 3   02;-74.123.705.605;462.403.982.400.002;16;;;;5;2;103
A150;10710;18/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;43;3;1;KR 67  - CL 3   02;-74.123.705.605;462.403.982.400.002;16;;;2001;5;3;103
A151;10711;19/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;45;3;1;KR 14  - CL 56  S 02;-74.120.838.613;454.414.533.900.001;5;;;2020;6;3;103
A152;10712;19/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;37;3;1;KR 14  - CL 56  S 02;-74.120.838.613;454.414.533.900.001;5;;;2018;5;2;103
A153;10713;19/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;33;3;1;CL 31 A  S- KR 12 B  02;-741.098.122;456.912.818.699.999;4;;;2012;1;2;104
A154;10714;19/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;50;3;1;CL 31 A  S- KR 12 B  02;-741.098.122;456.912.818.699.999;4;;;2014;5;3;104
A155;10715;19/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;59;3;1;KR 1  - CL 83   02;-74.047.155.763;466.213.053.400.003;2;;;2014;6;3;145
A156;10716;19/01/2022;0;1;CONDUCTOR;ILESO;MASCULINO;50;3;1;KR 1  - CL 83   02;-74.047.155.763;466.213.053.400.003;2;;;2017;1;3;145
A157;10717;19/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;31;3;1;CL 84  S- KR 14 B  02;-7.411.636.776;450.960.870.599.999;5;;;2013;9;2;103
A158;10718;19/01/2022;0;1;CONDUCTOR;ILESO;FEMENINO;39;3;1;CL 84  S- KR 14 B  02;-7.411.636.776;450.960.870.599.999;5;;;2017;1;3;103
A159;10719;19/01/2022;1;2;CONDUCTOR;ILESO;MASCULINO;62;3;1;CL 137  - KR 14   02;-74.039.139.398;472.858.854.100.002;5;;;1996;5;3;121
